"article_key","test_text","p_value","p_comp","section","start","end","one_previous"
"1_11_1211",".01; ***, p < 0.0005.
        ","5e-04","<","4","5046","5056"," "
"1_11_1211","       *, p < 0.05; * *, p <","0.05","<","5","2712","2720"," "
"1_11_1211",".05; * *, p < 0.01; ***, p <","0.01","<","5","2727","2735"," "
"1_11_1211",".01; ***, p < 0.0005. C, Untre","5e-04","<","5","2742","2752"," "
"1_11_1211"," greater (p < 0.05) than    ","0.05","<","5","3956","3964","("
"1_11_1211","acobs,
  Op < 0.01 by the St","0.01","<","5","6985","6993","O"
"1_11_1304"," N.D.
   ap < 0.001.
   bp < ","0.001","<","4","9852","9861","a"
"1_11_1304",".001.
   bp < 0.01.
   cp < ","0.01","<","4","9867","9875","b"
"1_11_1304","0.01.
   cp < 0.05.
   d N.D","0.05","<","4","9881","9889","c"
"1_11_1304"," This
   “p < 0.01 as determ","0.01","<","5","8116","8124","“"
"1_11_1320","al units (p < 0.05). When th","0.05","<","6","4194","4202","("
"1_10_1113","t      at p < 0.01.
   ’ Dif","0.01","<","2","9595","9603"," "
"1_10_1113","t      at p < 0.05.
","0.05","<","2","9718","9726"," "
"1_10_1113","cant   at p < 0.05.
      ’ ","0.05","<","3","9523","9531"," "
"1_10_1142","ficantly (p < 0.0001) less in ","1e-04","<","2","7071","7081","("
"1_10_1142","reatment (p < 0.0001). Further","1e-04","<","2","9043","9053","("
"1_10_1142","ficantly (p < 0.0001) less tha","1e-04","<","3","4949","4959","("
"1_9_936","ent      (p < 0.02) except f","0.02","<","5","3839","3847","("
"1_9_936","  6       p > 0.1. In some ","0.1",">","5","4017","4024"," "
"1_9_936","  moving (p < 0.02) than did","0.02","<","5","6819","6827","("
"1_9_936","fference (p > 0.1) in the t","0.1",">","5","7587","7594","("
"1_9_936","o groups (p < 0.02). Thus, l","0.02","<","5","9172","9180","("
"1_9_936","e moving (p < 0.002)         ","0.002","<","5","11297","11306","("
"1_9_936","         (p < 0.004) than did","0.004","<","6","1502","1511","("
"1_9_936","ted ones (p < 0.008). Seroton","0.008","<","6","1970","1979","("
"1_9_936","d        (p < 0.008) infreque","0.008","<","6","2250","2259","("
"1_9_936","ch other (p < 0.008 and, in
 ","0.008","<","6","8789","8798","("
"1_9_936","me cases, p < 0.004; see text","0.004","<","6","8970","8979"," "
"1_9_1008","  (day 1, p < 0.02; day 3, p","0.02","<","6","6051","6059"," "
"1_9_1008","2; day 3, p < 0.01; days 2 a","0.01","<","6","6068","6076"," "
"1_9_1008"," 2 and 4, p < 0.001; test).
 ","0.001","<","6","6092","6101"," "
"1_9_1008"," 2 and 4, p < 0.01; day 3, p","0.01","<","6","6490","6498"," "
"1_9_1008","1; day 3, p < 0.001; t test).","0.001","<","6","6507","6516"," "
"1_9_1008","3; day 1, p < 0.001; day 2, p","0.001","<","9","4736","4745"," "
"1_9_1008","2; day 3, p < 0.002; and day ","0.002","<","9","4837","4846"," "
"1_9_1008","nd day 4, p < 0.03). Sprouti","0.03","<","9","4859","4867"," "
"1_9_1008",".
ment I, p < 0.002; experime","0.002","<","9","6881","6890"," "
"1_9_1008","iment II, p < 0.01). These r","0.01","<","9","6907","6915"," "
"1_9_1008","      (A, p < 0.002 on days 1","0.002","<","11","1708","1717"," "
"1_9_1008","s 1 to 3; p < 0.03 on day 4;","0.03","<","11","1734","1742"," "
"1_9_1008","t     II, p < 0.01; t test).","0.01","<","11","4382","4390"," "
"1_9_1043",") = 16.1; p <
0.001). Thus, j","0.001","<","5","3181","3190"," "
"1_9_1043","  cantly (p < 0.05) more epp","0.05","<","6","3383","3391","("
"1_9_1052","          p < 0.001; n = 68).","0.001","<","3","7878","7887"," "
"1_9_1052","red rank, p > 0.05) or the
(","0.05",">","4","5314","5322"," "
"1_9_1052","ired rank,p < 0.001; n = 136)","0.001","<","4","5344","5353",","
"1_9_1052","ame test, p > 0.5) when the","0.5",">","4","5498","5505"," "
"1_9_1052","ame test, p < 0.001; n       ","0.001","<","4","5757","5766"," "
"1_9_1052","red rank, p < 0.005; n = 80) ","0.005","<","4","10028","10037"," "
"1_9_1052","          p < 0.001; n = 80) ","0.001","<","5","8905","8914"," "
"1_9_1052","ame test, p < 0.001; n = 56) ","0.001","<","5","8970","8979"," "
"1_9_1052","ame test, p < 0.05; n = 80).","0.05","<","5","9731","9739"," "
"1_9_1052","sum test, p < 0.01) and a fa","0.01","<","5","10742","10750"," "
"1_9_1052","ame test, p < 0.01). No corr","0.01","<","5","11020","11028"," "
"1_9_1052","ame test, p > 0.1); therefo","0.1",">","5","11548","11555"," "
"1_9_1052","ame test, p < 0.02). The few","0.02","<","5","12370","12378"," "
"1_9_1052","of means, p < 0.01). The
res","0.01","<","6","5077","5085"," "
"1_9_1052","ed ranks, p > 0.5; n = 39).","0.5",">","6","7439","7446"," "
"1_9_1052","the
test, p < 0.01); the opp","0.01","<","7","7696","7704"," "
"1_9_1052","red rank, p < 0.001) and the
","0.001","<","7","7818","7827"," "
"1_9_1052","    test, p < 0.001) and vice","0.001","<","7","8081","8090"," "
"1_9_1052","ame test, p < 0.001).
during ","0.001","<","7","8529","8538"," "
"1_8_876","II > SIV (p < 0.005, N = 22);","0.005","<","4","7441","7450","("
"1_8_876","SIV > PS (p < 0.05,
   At th","0.05","<","4","7471","7479","("
"1_8_876","2.14 Hz) (p < 0.0005 by paired","5e-04","<","5","4245","4255","("
"1_8_876","erall (***p < 0.0005), spindle","5e-04","<","7","2472","2482","*"
"1_8_876","rall (*** p < 0.0005), I-set e","5e-04","<","7","2603","2613"," "
"1_8_876","pochs (***p < 0.0005) but > SW","5e-04","<","7","2753","2763","*"
"1_8_876","       (**p < 0.005); N = 28 ","0.005","<","7","2870","2879","*"
"1_8_876","drants   (p > 0.1 by one-wa","0.1",">","9","2006","2013","("
"1_8_876","ants     (p < 0.05 by t test","0.05","<","9","2174","2182","("
"1_8_876","ge cells (p < 0.005 by t test","0.005","<","10","668","677","("
"1_8_887"," and MUs, p < 0.0005
         ","5e-04","<","4","5120","5130"," "
"1_8_887","          p < 0.05 by paired","0.05","<","4","5855","5863"," "
"1_8_887"," SU data (p < 0.005 by paired","0.005","<","4","6147","6156","("
"1_8_887","cordings (p > 0.1 by paired","0.1",">","4","6311","6318","("
"1_8_887"," for MUs, p < 0.025, N = 7, p","0.025","<","5","2794","2803"," "
"1_8_887","n < F+on (p < 0.0005); T+off <","5e-04","<","7","1182","1192","("
"1_8_887"," < F+off (p < 0.005);
       ","0.005","<","7","1210","1219","("
"1_8_887"," z F+dnr (p > 0.1); T-on < ","0.1",">","7","1259","1266","("
"1_8_887","n < F-on (p < 0.05); T-off E","0.05","<","7","1282","1290","("
"1_8_887"," E F-off (p > 0.1);
       ","0.1",">","7","1308","1315","("
"1_8_887"," > F-dur (p < 0.05); T-on mi","0.05","<","7","1355","1363","("
"1_8_887","us F+off (p < 0.05),
       ","0.05","<","7","1403","1411","("
"1_8_887","trials, **p < 0.005;mean W/W ","0.005","<","8","1767","1776","*"
"1_8_887","itude, ***p < 0.0005;mean
    ","5e-04","<","8","1825","1835","*"
"1_8_887","          p < 0.0005 for each,","5e-04","<","8","1968","1978"," "
"1_8_887","W > W/W, *p < 0.05; W/W > SW","0.05","<","8","2352","2360","*"
"1_8_887","        **p < 0.0005;SWS/W > a","5e-04","<","8","2394","2404","*"
"1_8_887"," SWS/SWS, p < 0.005for each; ","0.005","<","8","2444","2453"," "
"1_8_887","SWS or W, p < 0.005 for each;","0.005","<","8","2516","2525"," "
"1_8_887"," W/W > W, p < 0.0005; SWS/SWS ","5e-04","<","8","2545","2555"," "
"1_8_887","SWS/SWS) (p < 0.0005 by paired","5e-04","<","8","4741","4751","("
"1_8_887","levels of
p < 0.005 by paired","0.005","<","8","5255","5264","
"
"1_8_887","W/W rate, p < 0.05          ","0.05","<","8","5689","5697"," "
"1_8_887","(for SUs, p > 0.05, N = 5,4,","0.05",">","9","2118","2126"," "
"1_8_887","; for MUs,p > 0.05,
  TONE 5","0.05",">","9","2562","2570",","
"1_8_887"," 3 cells; p > 0.1 by paired","0.1",">","9","3467","3474"," "
"1_8_887","tsare the p < 0.01 level .(b","0.01","<","9","4165","4173"," "
"1_8_887","ring. the p < 0.05 level onl","0.05","<","9","4408","4416"," "
"1_8_887","fference (p > 0.1 by
      ","0.1",">","9","4577","4584","("
"1_8_887","ory only (p < 0.02, N = 16 c","0.02","<","9","5113","5121","("
"1_8_887","nt at the p < 0.005 level (N ","0.005","<","9","5481","5490"," "
"1_8_908","hrine,    p < 0.0025; phenylep","0.0025","<","5","9734","9744"," "
"1_8_908","rine,     p < 0.01 using six","0.01","<","5","9851","9859"," "
"1_7_679","ed above (p > 0.2). The 2 r","0.2",">","4","223","230","("
"1_7_679","ar lower (p < 0.001) than in ","0.001","<","4","3278","3287","("
"1_7_685",": for TH, p < 0.05; for     ","0.05","<","3","5426","5434"," "
"1_7_685","ion.
DBH, p < 0.001; for CAT,","0.001","<","3","5476","5485"," "
"1_7_685"," for CAT, p < 0.05; in exper","0.05","<","3","5496","5504"," "
"1_7_685",": for TH, p
< 0.05; for DBH,","0.05","<","3","5538","5546"," "
"1_7_685"," for DBH, p < 0.01; and for ","0.01","<","3","5557","5565"," "
"1_7_685"," for CAT, p < 0.001.
        ","0.001","<","3","5580","5589"," "
"1_7_760","    9.78; p < 0.01). Upon in","0.01","<","3","391","399"," "
"1_7_760","DJ = 7.5; p < 0.01). Consequ","0.01","<","3","2958","2966"," "
"1_7_760","          p < 0.001). Althoug","0.001","<","3","5263","5272"," "
"1_7_760","          p < 0.05), there w","0.05","<","3","5531","5539"," "
"1_7_760",") =
5.80; p < 0.025), while t","0.025","<","4","2940","2949"," "
"1_7_760",") = 5.75; p < 0.05) (Fig. 3)","0.05","<","4","3987","3995"," "
"1_7_760",") = 1.73; p < 0.05). As     ","0.05","<","5","2027","2035"," "
"1_6_585","increase (p < 0.001) in relea","0.001","<","9","1083","1092","("
"1_6_585","increase (p < 0.001) in      ","0.001","<","9","3306","3315","("
"1_6_585","tances. * p < 0.05; ** p < 0","0.05","<","9","8685","8693"," "
"1_6_585"," 0.05; ** p < 0.001.         ","0.001","<","9","8698","8707"," "
"1_6_620","ractions (p < 0.05; t test).","0.05","<","3","3266","3274","("
"1_6_620","d t test; p < 0.05; N = 3). ","0.05","<","4","7463","7471"," "
"1_6_635","f = 1, 8; p >
0.05). Neverth","0.05",">","3","1587","1595"," "
"1_6_635"," = 2, 14; p > 0.1). Neverth","0.1",">","3","3493","3500"," "
"1_6_635","df = 1, 7;p < 0.05).        ","0.05","<","3","3755","3763",";"
"1_6_635"," = 1, 13; p > 0.1; for     ","0.1",">","3","5060","5067"," "
"1_6_635"," = 1, 12; p > 0.1) and ther","0.1",">","3","5175","5182"," "
"1_6_635"," = 2, 26; p > 0.1; for sent","0.1",">","3","5350","5357"," "
"1_6_635"," Two
 24; p > 0.1).        ","0.1",">","3","5459","5466"," "
"1_6_635"," = 1, 14; p > 0.1)). Yet, t","0.1",">","3","6946","6953"," "
"1_6_641","cepted at p < 0.05.
dura was","0.05","<","3","4290","4298"," "
"1_6_641","C lesion (p < 0.001). This in","0.001","<","4","5291","5300","("
"1_6_641"," 2 weeks (p < 0.01;
        ","0.01","<","5","2636","2644","("
"1_6_641","C lesion (p < 0.001; star).  ","0.001","<","5","5232","5241","("
"1_6_641","    side (p < 0.05). There w","0.05","<","5","5419","5427","("
"1_6_641","2 weeks ( p < 0.01). However","0.01","<","5","5507","5515"," "
"1_6_641"," lesion ( p < 0.05).
Also, t","0.05","<","5","6127","6135"," "
"1_6_641","C lesion (p < 0.05). This ra","0.05","<","5","6914","6922","("
"1_6_641","rolonged (p < 0.05; star).  ","0.05","<","7","1537","1545","("
"1_6_641","ifferent (p < 0.05; star).

","0.05","<","7","1638","1646","("
"1_6_641","rolonged (p < 0.05; star).  ","0.05","<","7","4405","4413","("
"1_6_658","y U test, p = 0.005). If the ","0.005","=","9","4843","4852"," "
"1_6_658","7-l test, p = 0.002).
       ","0.002","=","9","6728","6737"," "
"1_6_658","y U test, p = 0.002). The num","0.002","=","10","4268","4277"," "
"1_6_658","al males (p = 0.001). Exposur","0.001","=","10","4590","4599","("
"1_6_658","o 8,400) (p = 0.001).
filled ","0.001","=","10","5084","5093","("
"1_6_658","at-
test, p = 0.036). The inf","0.036","=","12","4441","4450"," "
"1_6_674","elopment (p < 0.01 by paired","0.01","<","3","1483","1491","("
"1_6_674"," protein (p < 0.001 versus co","0.001","<","3","2014","2023","("
"1_6_674","f       a p < 0.01 versus ,c","0.01","<","3","3316","3324"," "
"1_6_674","        a p < 0.005 versus co","0.005","<","3","5219","5228"," "
"1_6_674","        * p < 0.05 versus co","0.05","<","3","5343","5351"," "
"1_6_674","n-
trols (p < 0.05 or better","0.05","<","3","7622","7630","("
"1_6_674","ifferent (p < 0.01 by paired","0.01","<","3","7813","7821","("
"1_6_674","e groups (p < 0.05 or better","0.05","<","4","3740","3748","("
"1_5_453","ys at the p < 0.01 level of ","0.01","<","2","213","221"," "
"1_5_453","ificance (p > 0.05).
 displa","0.05",">","2","6503","6511","("
"1_5_453","2 = 7.07; p < 0.001). Table I","0.001","<","3","2720","2729"," "
"1_5_453","2 = 7.56; p < 0.001).
       ","0.001","<","5","2579","2588"," "
"1_5_453","2 = 7.56; p < 0.001).        ","0.001","<","5","5115","5124"," "
"1_5_478","senchyme (p < 0.05 and p < 0","0.05","<","7","3855","3863","("
"1_5_478"," 0.05 and p < 0.01 in HS
   ","0.01","<","7","3868","3876"," "
"1_5_478","fference (p > 0.05)comparedt","0.05",">","7","6600","6608","("
"1_5_478","g medium (p < 0.05).        ","0.05","<","7","7329","7337","("
"1_5_478"," alone   (p > 0.05).




pot","0.05",">","8","4772","4780","("
"1_5_493","rol      (p < 0.001).
using t","0.001","<","3","9293","9302","("
"1_5_493"," control (p < 0.001).        ","0.001","<","4","2357","2366","("
"1_5_493","ontrol   (p < 0.01).


     ","0.01","<","8","3188","3196","("
"1_5_514","ferent if p < 0.05.
    GABA","0.05","<","2","2568","2576"," "
"1_5_514","         “p < 0.01 compared ","0.01","<","2","8586","8594","“"
"1_5_514","         ‘p < 0.05 compared ","0.05","<","2","8739","8747","‘"
"1_5_514","         “p < 0.05 compared ","0.05","<","3","7105","7113","“"
"1_5_514","otein
   ap < 0.005 with resp","0.005","<","3","10496","10505","a"
"1_5_514"," 0.4
    ‘p < 0.05 compared ","0.05","<","3","11043","11051","‘"
"1_5_527","PG.
    ’ p < 0.01; Student’","0.01","<","3","1944","1952"," "
"1_5_527","POA.
    ‘p < 0.001; Student’","0.001","<","3","2667","2676","‘"
"1_5_527","est.
    Bp < 0.05; Student’","0.05","<","3","2708","2716","B"
"1_5_527","l        (p < 0.001; Student’","0.001","<","3","5645","5654","("
"1_5_527","l        (p < 0.01; Student’","0.01","<","3","5822","5830","("
"1_5_532","the cord (p < 0.005,      (19","0.005","<","12","6493","6502","("
"1_5_532","s of GRs (p < 0.1, Student’","0.1","<","12","6800","6807","("
"1_4_333",".1
     a p < 0.05 compared ","0.05","<","4","2578","2586"," "
"1_4_333","0.6
     “p < 0.05 compared ","0.05","<","4","7747","7755","“"
"1_4_333","e 1).
   ‘p < 0.05 compared ","0.05","<","5","7389","7397","‘"
"1_4_333"," 3.5

   “p < 0.1 compared ","0.1","<","5","10206","10213","“"
"1_4_333","e 1).
   hp < 0.1 compared ","0.1","<","5","10255","10262","h"
"1_4_333",".8”S’
   “p < 0.05 compared ","0.05","<","7","1770","1778","“"
"1_4_333","e 1).
   “p < 0.1 compared ","0.1","<","7","1813","1820","“"
"1_4_333","e 1).
   “p < 0.05 compared ","0.05","<","7","1855","1863","“"
"1_4_343","2

      Op < 0.05 compared ","0.05","<","3","2714","2722","O"
"1_4_343",").
      ‘p < 0.05 compared ","0.05","<","3","2761","2769","‘"
"1_4_343","5
      ’ p < 0.05 compared ","0.05","<","3","4185","4193"," "
"1_4_343","M)
      ‘p < 0.05 compared ","0.05","<","3","4358","4366","‘"
"1_4_343","         “p < 0.05 compared ","0.05","<","3","9294","9302","“"
"1_4_343","        n p < 0.05 compared ","0.05","<","4","3065","3073"," "
"1_4_343","         bp < 0.05 compared ","0.05","<","4","3236","3244","b"
"1_4_343","kedly
   ‘p < 0.05 compared ","0.05","<","4","10694","10702","‘"
"1_4_343","on of
   bp < 0.05 compared ","0.05","<","4","10850","10858","b"
"1_4_343",".1”
     “p < 0.05 compared ","0.05","<","5","2082","2090","“"
"1_4_343",".9

     “p < 0.05 compared ","0.05","<","5","4810","4818","“"
"1_4_343","TA.
     bp < 0.1 compared ","0.1","<","5","4863","4870","b"
"1_4_343","1).
     ‘p < 0.1 compared ","0.1","<","5","4912","4919","‘"
"1_4_358","morphine (p < 0.05) and this","0.05","<","3","1210","1218","("
"1_4_358","ick test (p < 0.01,
and stre","0.01","<","3","3560","3568","("
"1_4_358","nalgesia (p < 0.01, compared","0.01","<","3","4195","4203","("
"1_4_358","14th day (p < 0.01),2 thus m","0.01","<","3","4844","4852","("
"1_4_358","o groups (p < 0.05).
otherwi","0.05","<","3","5400","5408","("
"1_4_358","and time (p < 0.01). Both st","0.01","<","3","5909","5917","("
"1_4_358"," overall (p < 0.05) but did
","0.05","<","3","6045","6053","("
"1_4_358","ontrols ( p < 0.05)) althoug","0.05","<","4","8361","8369"," "
"1_4_364","values at p < 0.001 by the   ","0.001","<","3","3042","3051"," "
"1_4_364","values at p < 0.01 by the
St","0.01","<","3","3335","3343"," "
"1_4_409","         ‘p < 0.05 when comp","0.05","<","5","7342","7350","‘"
"1_4_409","         ‘p < 0.01 when comp","0.01","<","5","7633","7641","‘"
"1_4_409","         *p < 0.01 when     ","0.01","<","6","10567","10575","*"
"1_4_409"," 76%

   “p < 0.01 when comp","0.01","<","7","3178","3186","“"
"1_3_227","    5.37; p > 0.05).
   Stag","0.05",">","3","4010","4018"," "
"1_3_227","s (U = 0; p = 0.036, for both","0.036","=","3","4865","4874"," "
"1_3_227","p (U = 0; p = 0.036), but onl","0.036","=","3","5105","5114"," "
"1_3_227","s (U = 0; p = 0.036, for
    ","0.036","=","5","1112","1121"," "
"1_3_227"," = 12.22; p < 0.02). Errors ","0.02","<","5","13700","13708"," "
"1_3_227","p (U = 0; p = 0.016 and U = 3","0.016","=","8","1005","1014"," "
"1_3_227","nd U = 3; p = 0.042, for
    ","0.042","=","8","1026","1035"," "
"1_3_227","S = 0.57; p > 0.05).

      ","0.05",">","8","2122","2130"," "
"1_3_227","    9.83 (p < 0.01). Monkeys","0.01","<","8","2597","2605","("
"1_3_227","p (U = 0; p = 0.016 and U = 0","0.016","=","8","2865","2874"," "
"1_3_227","S = 0.11; p > 0.05) or betwe","0.05",">","8","3473","3481"," "
"1_3_227"," ( U = 3; p = 0.056).
       ","0.056","=","9","654","663"," "
"1_3_227","      161
p < 0.02). Errors ","0.02","<","9","3289","3297","
"
"1_3_227","lues = 0; p = 0.016 and < 0.0","0.016","=","9","3914","3923"," "
"1_3_227","h
(U = 1; p = 0.058) and eigh","0.058","=","10","5678","5687"," "
"1_3_227","h (U = 2; p = 0.057, one-
tai","0.057","=","10","5708","5717"," "
"1_3_241","nificant (p < 0.05)         ","0.05","<","3","5518","5526","("
"1_3_241","         (p < 0.05, paired t","0.05","<","6","2396","2404","("
"1_3_241","
cance at p < 0.05 (paired o","0.05","<","6","5823","5831"," "
"1_3_241","ant    at p < 0.05 by paired","0.05","<","6","13477","13485"," "
"1_3_241","    side (p < 0.05 by paired","0.05","<","7","4191","4199","("
"1_3_285","least the p < 0.05 confidenc","0.05","<","3","4453","4461"," "
"1_3_285","trol      p < 0.05.
produced","0.05","<","4","5931","5939"," "
"1_3_292","icance of p < 0.05 (Dixon an","0.05","<","2","3881","3889"," "
"1_3_292","ifferent (p < 0.05).        ","0.05","<","4","3108","3116","("
"1_3_323","(binomial p < 0.05) on
exam ","0.05","<","3","2243","2251"," "
"1_3_323","      ial p < 0.05).
       ","0.05","<","3","2911","2919"," "
"1_3_323"," = 29.70; p < 0.001). This te","0.001","<","5","623","632"," "
"1_3_323"," = 79.12; p < 0.001). No such","0.001","<","5","891","900"," "
"1_3_323","(binomial p < 0.05) but not ","0.05","<","5","1926","1934"," "
"1_3_323","    6.02; p < 0.05), althoug","0.05","<","5","3321","3329"," "
"1_2_132","     with p < 0.001.
reported","0.001","<","4","4094","4103"," "
"1_2_132","     with p < 0.05.
both d- ","0.05","<","4","4627","4635"," "
"1_2_141","controls (p < 0.01, t test).","0.01","<","4","5928","5936","("
"1_2_141","p.
      *p < 0.01, t test.
","0.01","<","4","9858","9866","*"
"1_2_141","t.
      ‘p < 0.005, t test.
","0.005","<","4","9883","9892","‘"
"1_2_141","t.
      dp < 0.05, t test.
","0.05","<","4","9909","9917","d"
"1_2_141","ntrols   (p < 0.01, t test).","0.01","<","5","1451","1459","("
"1_2_192","icant    (p < 0.01, Student’","0.01","<","5","5825","5833","("
"1_2_192","0.36
   n p < 0.05, compared","0.05","<","5","9351","9359"," "
"1_2_192",")
      ” p < 0.05, compared","0.05","<","7","3620","3628"," "
"1_2_192","        o p < 0.01, when    ","0.01","<","7","6282","6290"," "
"1_2_192","in a 66% (p < 0.01)         ","0.01","<","7","6837","6845","("
"1_2_218","ncrease ( p < 0.05) in
maril","0.05","<","4","2660","2668"," "
"1_2_218","r = 0.78; p < 0.01) between ","0.01","<","4","4085","4093"," "
"1_2_218","          p < 0.05
10m7 M cl","0.05","<","5","5266","5274"," "
"1_2_218","          p < 0.02
1O-7 M R0","0.02","<","5","5825","5833"," "
"1_2_218","          p < 0.01
         ","0.01","<","5","6180","6188"," "
"1_2_218","cant.
   ap < 0.02 paired   ","0.02","<","5","6708","6716","a"
"1_2_218","test.
   ‘p < 0.02 t test.  ","0.02","<","5","6742","6750","‘"
"1_2_218","tion    ( p < 0.01) between ","0.01","<","6","1927","1935"," "
"1_1_40","ficantly (p < 0.001) with the","0.001","<","5","9163","9172","("
"1_1_40"," I   I
at p < 0.001). A strai","0.001","<","6","717","726"," "
"1_1_40"," (F test, p > 0.05)
","0.05",">","7","4175","4183"," "
"1_1_40"," (F test, p > 0.05) was     ","0.05",">","8","1640","1648"," "
"1_1_49","   inase (p > 0.2). The res","0.2",">","3","3373","3380","("
"1_1_49"," (Fig. 4, p < 0.05). The sma","0.05","<","3","3678","3686"," "
"1_1_49","istamine (p < 0.025) was grea","0.025","<","3","3822","3831","("
"1_1_49","  phrine (p < 0.05). It woul","0.05","<","3","4074","4082","("
"1_1_49"," (Fig. 5, p < 0.05).
yltheop","0.05","<","3","5044","5052"," "
"1_1_49","agnitude (p < 0.05). The res","0.05","<","3","5635","5643","("
"1_1_49"," greater (p < 0.01) than the","0.01","<","3","6369","6377","("
"1_1_49","additive (p > 0.2). The pre","0.2",">","3","7337","7344","("
"1_1_49","nephrine (p < 0.001) in rat c","0.001","<","3","7529","7538","("
"1_1_49"," 2-FNE,
 (p < 0.1). The res","0.1","<","3","7734","7741","("
"1_1_49","ntrol     p > 0.1.         ","0.1",">","4","6695","6702"," "
"1_1_49","nificant (p > 0.5).
noted t","0.5",">","6","3712","3719","("
"1_1_49"," greater (p < 0.1) than the","0.1","<","7","3551","3558","("
"1_1_49","clic AMP (p < 0.05). It woul","0.05","<","7","5109","5117","("
"1_1_49"," (Fig. 5, p < 0.1). The res","0.1","<","7","6360","6367"," "
"1_1_49"," (Fig. 4, p < 0.05). The hip","0.05","<","7","6665","6673"," "
